('OA', '29/12/18', '12:12:23')
('OA', '29/12/18', '12:12:24')
('OA', '29/12/18', '12:12:24')
('OA', '29/12/18', '12:12:24')
('OA', '29/12/18', '12:12:24')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:25')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:26')
('OA', '29/12/18', '12:12:27')
('OA', '29/12/18', '12:12:27')
('OA', '29/12/18', '12:12:29')
('OA', '29/12/18', '12:12:29')
('OA', '29/12/18', '12:12:30')
('OA', '29/12/18', '12:12:30')
('OA', '29/12/18', '12:12:30')
('OA', '29/12/18', '12:12:30')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:31')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:32')
('OA', '29/12/18', '12:12:33')
('OA', '29/12/18', '12:12:33')
('OA', '29/12/18', '12:12:33')
('OA', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:33')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:34')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:35')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:36')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:37')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:38')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
('NR', '29/12/18', '12:12:39')
