('NR', '28/12/18', '01:41:27')
('NR', '28/12/18', '01:41:28')
('NR', '28/12/18', '01:41:28')
('NR', '28/12/18', '01:41:28')
('NR', '28/12/18', '01:41:28')
('NR', '28/12/18', '01:41:28')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:29')
('NR', '28/12/18', '01:41:30')
('NR', '28/12/18', '01:41:30')
('NR', '28/12/18', '01:41:30')
('NR', '28/12/18', '01:41:30')
('NR', '28/12/18', '01:41:30')
('NR', '28/12/18', '01:41:31')
('NR', '28/12/18', '01:41:31')
('NR', '28/12/18', '01:41:31')
('NR', '28/12/18', '01:41:31')
('NR', '28/12/18', '01:41:31')
('NR', '28/12/18', '01:41:32')
('NR', '28/12/18', '01:41:32')
('NR', '28/12/18', '01:41:32')
('NR', '28/12/18', '01:41:32')
('NR', '28/12/18', '01:41:32')
('NR', '28/12/18', '01:41:33')
('OA', '28/12/18', '01:41:33')
('OA', '28/12/18', '01:41:33')
('OA', '28/12/18', '01:41:37')
('OA', '28/12/18', '01:41:37')
('OA', '28/12/18', '01:41:48')
('OA', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:48')
('NR', '28/12/18', '01:41:49')
('NR', '28/12/18', '01:41:49')
('NR', '28/12/18', '01:41:49')
('NR', '28/12/18', '01:41:49')
('NR', '28/12/18', '01:41:49')
('NR', '28/12/18', '01:41:50')
('NR', '28/12/18', '01:41:50')
('NR', '28/12/18', '01:41:50')
('NR', '28/12/18', '01:41:50')
('NR', '28/12/18', '01:41:50')
('NR', '28/12/18', '01:41:51')
('NR', '28/12/18', '01:41:51')
('NR', '28/12/18', '01:41:51')
('NR', '28/12/18', '01:41:51')
('NR', '28/12/18', '01:41:51')
('NR', '28/12/18', '01:41:52')
('NR', '28/12/18', '01:41:52')
('NR', '28/12/18', '01:41:52')
('NR', '28/12/18', '01:41:52')
('NR', '28/12/18', '01:41:52')
('NR', '28/12/18', '01:41:53')
('NR', '28/12/18', '01:41:53')
('NR', '28/12/18', '01:41:53')
('NR', '28/12/18', '01:41:53')
('NR', '28/12/18', '01:41:53')
('NR', '28/12/18', '01:41:53')
('OA', '28/12/18', '01:41:55')
('OA', '28/12/18', '01:41:55')
('OA', '28/12/18', '01:42:00')
('OA', '28/12/18', '01:42:00')
('OA', '28/12/18', '01:42:07')
('OA', '28/12/18', '01:42:07')
('OA', '28/12/18', '01:42:08')
('OA', '28/12/18', '01:42:08')
('NR', '28/12/18', '01:42:10')
('NR', '28/12/18', '01:42:10')
('NR', '28/12/18', '01:42:10')
('NR', '28/12/18', '01:42:11')
('NR', '28/12/18', '01:42:11')
('NR', '28/12/18', '01:42:11')
('NR', '28/12/18', '01:42:11')
('NR', '28/12/18', '01:42:11')
('NR', '28/12/18', '01:42:12')
('NR', '28/12/18', '01:42:12')
('NR', '28/12/18', '01:42:12')
('NR', '28/12/18', '01:42:12')
('NR', '28/12/18', '01:42:12')
('NR', '28/12/18', '01:42:13')
('NR', '28/12/18', '01:42:13')
('NR', '28/12/18', '01:42:13')
('NR', '28/12/18', '01:42:13')
('NR', '28/12/18', '01:42:13')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:14')
('NR', '28/12/18', '01:42:15')
('NR', '28/12/18', '01:42:15')
('NR', '28/12/18', '01:42:15')
('NR', '28/12/18', '01:42:15')
('NR', '28/12/18', '01:42:15')
('OA', '28/12/18', '03:14:00')
('OA', '28/12/18', '03:14:00')
('OA', '28/12/18', '03:14:02')
('OA', '28/12/18', '03:14:02')
('OA', '28/12/18', '03:14:02')
('OA', '28/12/18', '03:14:02')
('NR', '28/12/18', '03:14:02')
('NR', '28/12/18', '03:14:02')
('NR', '28/12/18', '03:14:03')
('OA', '28/12/18', '03:14:03')
('OA', '28/12/18', '03:14:03')
('OA', '28/12/18', '03:14:04')
('OA', '28/12/18', '03:14:04')
('OA', '28/12/18', '03:14:05')
('OA', '28/12/18', '03:14:05')
('OA', '28/12/18', '03:14:07')
('OA', '28/12/18', '03:14:07')
('OA', '28/12/18', '03:14:07')
('OA', '28/12/18', '03:14:07')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:08')
('OA', '28/12/18', '03:14:09')
('OA', '28/12/18', '03:14:09')
('OA', '28/12/18', '03:14:09')
('OA', '28/12/18', '03:14:09')
('OA', '28/12/18', '03:14:10')
('OA', '28/12/18', '03:14:10')
('OA', '28/12/18', '03:14:11')
('OA', '28/12/18', '03:14:11')
('OA', '28/12/18', '03:14:11')
('OA', '28/12/18', '03:14:11')
('OA', '28/12/18', '03:14:12')
('OA', '28/12/18', '03:14:12')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:13')
('OA', '28/12/18', '03:14:14')
('OA', '28/12/18', '03:14:14')
('OA', '28/12/18', '03:14:14')
('OA', '28/12/18', '03:14:14')
('OA', '28/12/18', '03:14:15')
('OA', '28/12/18', '03:14:15')
('OA', '28/12/18', '03:14:16')
('OA', '28/12/18', '03:14:16')
('OA', '28/12/18', '03:14:16')
('OA', '28/12/18', '03:14:16')
